vessel,datetime,lat,long,heading,speed,draft
1,2019-12-17 21:54:00,29.40075,-93.696903,25.0,0.5,9.6
2,2019-12-16 23:37:00,-13.258923,-76.313653,136.0,0.0,10.1
3,2019-12-10 21:45:00,-0.315215,5.5115,31.0,17.7,9.4
4,2019-12-27 10:24:00,32.51418,121.86164,104.0,0.0,11.4
5,2019-12-31 21:55:00,38.83732,26.598203,100.0,6.8,11.0
6,2019-12-23 21:59:00,37.848483,23.402068,272.0,9.7,10.0
7,2019-12-14 21:54:00,28.819,-95.092243,53.0,0.0,9.4
8,2019-12-23 22:00:00,34.566043,135.404362,64.0,0.0,11.5
9,2019-12-17 21:29:00,51.018495,1.752385,257.0,0.1,11.2
10,2019-12-13 23:10:00,4.427033,7.14553,219.0,0.0,9.3
11,2019-12-25 21:12:00,26.603915,-91.345233,319.0,17.7,9.6
12,2019-12-24 21:54:00,-12.571993,-77.950868,119.0,14.1,9.6
13,2019-12-28 21:47:00,-12.869933,-78.63056,111.0,16.8,10.0
14,2019-12-17 21:56:00,22.336892,114.679098,305.0,7.6,11.0
15,2019-12-22 21:50:00,16.355398,-65.6481,328.0,17.1,11.0
16,2019-12-20 21:11:00,35.558027,15.293617,327.0,14.3,10.6
17,2019-12-06 21:45:00,37.019395,126.701833,151.0,15.7,11.1
18,2019-12-02 21:41:00,-13.786848,123.36888,297.0,1.3,9.1
19,2019-12-28 19:55:00,21.67,72.509667,179.0,0.0,11.7
20,2019-12-28 21:47:00,38.852878,118.339168,271.0,7.7,11.5
21,2019-12-04 21:48:00,34.565877,135.404487,64.0,0.0,12.1
22,2019-12-20 21:49:00,34.558003,134.810133,245.0,14.1,11.7
23,2019-12-31 21:54:00,36.99971,126.78092,129.0,0.0,11.1
24,2019-12-12 21:42:00,52.018752,3.47818,194.0,0.0,11.2
25,2019-12-18 21:46:00,26.922643,-95.031073,297.0,16.3,9.5
26,2019-12-18 23:55:00,9.66671,75.146117,99.0,15.3,11.8
27,2019-12-18 21:51:00,30.080687,123.143438,356.0,11.1,11.4
28,2019-12-23 21:59:00,37.751167,-8.974883,49.0,7.8,11.8
29,2019-12-17 21:26:00,50.425482,0.549622,72.0,11.7,11.5
