,vessel,begin_date,end_date,begin_port_id,end_port_id,delta
28,3.0,2019-01-08 22:48:00,2019-01-10 13:58:00,142.0,34.0,1.0
33,3.0,2019-03-20 00:57:00,2019-03-22 09:50:00,74.0,7.0,2.0
37,3.0,2019-05-23 15:16:00,2019-05-30 08:40:00,138.0,83.0,6.0
38,3.0,2019-05-31 11:57:00,2019-06-04 05:50:00,83.0,138.0,3.0
47,4.0,2019-02-16 03:49:00,2019-02-21 01:36:00,115.0,7.0,4.0
56,4.0,2019-07-25 10:30:00,2019-07-30 05:24:00,134.0,55.0,4.0
63,5.0,2019-04-22 10:17:00,2019-04-28 14:44:00,83.0,138.0,6.0
72,5.0,2019-10-16 07:28:00,2019-10-18 15:33:00,134.0,122.0,2.0
73,5.0,2019-10-18 21:39:00,2019-10-22 09:06:00,122.0,55.0,3.0
76,6.0,2019-01-09 22:52:00,2019-01-16 16:51:00,7.0,115.0,6.0
78,6.0,2019-03-13 18:45:00,2019-03-14 15:11:00,99.0,32.0,0.0
85,6.0,2019-06-10 20:51:00,2019-06-12 21:01:00,99.0,32.0,2.0
90,6.0,2019-08-09 20:54:00,2019-08-13 17:48:00,22.0,34.0,3.0
112,8.0,2019-11-28 18:57:00,2019-11-30 18:45:00,34.0,58.0,1.0
115,9.0,2019-01-19 06:41:00,2019-01-23 04:58:00,72.0,51.0,3.0
130,10.0,2019-03-29 21:56:00,2019-04-04 18:58:00,38.0,92.0,5.0
148,11.0,2019-07-07 13:33:00,2019-07-12 08:14:00,138.0,83.0,4.0
149,11.0,2019-07-13 11:50:00,2019-07-17 04:30:00,83.0,138.0,3.0
155,11.0,2019-11-27 08:29:00,2019-11-28 21:06:00,34.0,38.0,1.0
170,12.0,2019-07-20 04:31:00,2019-07-22 14:27:00,65.0,34.0,2.0
180,13.0,2019-03-26 01:12:00,2019-03-31 04:04:00,134.0,55.0,5.0
192,13.0,2019-11-06 00:56:00,2019-11-12 21:53:00,115.0,32.0,6.0
