vessel,begin_date,end_date,begin_port_id,end_port_id
1,1/1/2019 19:26,1/16/2019 22:59,138,102
1,1/17/2019 22:50,2/13/2019 16:43,102,138
1,2/14/2019 22:44,3/1/2019 10:51,138,33
1,3/2/2019 7:48,3/16/2019 6:53,33,138
1,7/17/2019 16:33,8/12/2019 23:43,138,72
1,8/13/2019 23:44,9/15/2019 16:32,72,138
1,9/16/2019 16:31,9/30/2019 2:41,138,95
1,10/1/2019 10:31,10/16/2019 7:29,95,138
1,10/17/2019 10:31,11/1/2019 4:30,138,27
1,11/2/2019 7:27,11/17/2019 5:30,27,138
1,11/18/2019 8:16,12/2/2019 2:32,138,95
2,1/14/2019 7:59,1/29/2019 10:59,13,104
2,1/30/2019 19:54,2/13/2019 4:49,104,13
2,2/15/2019 7:59,3/15/2019 12:54,13,10
2,3/16/2019 21:42,4/23/2019 6:31,10,138
2,4/24/2019 4:18,7/11/2019 4:32,138,10
2,7/12/2019 10:33,7/24/2019 1:31,10,36
2,7/25/2019 2:56,8/8/2019 6:27,36,97
2,8/9/2019 11:43,9/9/2019 20:17,97,55
2,9/11/2019 4:41,10/7/2019 21:46,55,11
2,10/8/2019 23:50,11/10/2019 0:43,11,138
2,11/11/2019 5:31,12/16/2019 19:51,138,55
3,1/24/2019 7:53,3/5/2019 10:14,104,32
3,3/6/2019 13:58,4/21/2019 1:30,32,138
3,4/21/2019 22:17,5/6/2019 8:47,138,83
3,5/7/2019 13:32,5/22/2019 16:29,83,138
3,5/23/2019 16:34,5/30/2019 8:40,138,83
3,5/31/2019 14:50,6/4/2019 5:50,83,138
3,6/5/2019 14:50,6/23/2019 15:59,138,84
3,6/25/2019 4:33,7/11/2019 18:52,84,91
3,7/13/2019 11:55,8/3/2019 1:32,91,35
3,8/4/2019 8:47,8/25/2019 1:30,35,57
3,8/26/2019 5:45,9/30/2019 14:06,57,120
3,10/1/2019 14:53,10/15/2019 11:52,120,165
3,10/16/2019 17:46,11/15/2019 21:56,165,23
4,1/26/2019 22:59,2/21/2019 1:36,57,7
4,2/22/2019 1:57,3/11/2019 9:52,7,104
4,3/12/2019 18:58,3/27/2019 3:56,104,13
4,3/29/2019 4:48,4/24/2019 22:26,13,138
4,4/25/2019 20:56,6/3/2019 5:46,138,10
4,6/4/2019 14:51,6/13/2019 1:28,10,20
4,6/14/2019 1:32,6/25/2019 7:33,20,138
4,6/26/2019 8:49,8/7/2019 3:19,138,55
4,8/7/2019 20:03,9/30/2019 23:12,55,91
4,10/2/2019 11:51,11/8/2019 0:43,91,58
4,11/8/2019 21:55,12/1/2019 8:36,58,55
5,1/18/2019 7:54,2/2/2019 10:54,104,29
5,2/4/2019 1:57,2/18/2019 0:48,29,99
5,2/19/2019 4:57,3/3/2019 4:55,99,149
5,3/5/2019 1:59,4/4/2019 22:14,149,91
5,4/6/2019 13:24,4/21/2019 10:14,91,83
5,4/22/2019 13:24,4/28/2019 14:44,83,138
5,4/29/2019 13:31,6/23/2019 4:29,138,10
5,6/24/2019 10:31,7/28/2019 7:29,10,97
5,7/29/2019 8:46,8/6/2019 17:46,97,83
5,8/7/2019 20:53,8/12/2019 1:31,83,138
5,8/12/2019 23:52,9/4/2019 23:34,138,84
5,9/6/2019 3:44,9/27/2019 10:31,84,138
5,9/28/2019 14:56,10/18/2019 15:33,138,122
5,10/19/2019 2:58,10/22/2019 9:06,122,55
5,10/23/2019 13:04,11/23/2019 2:29,55,87
5,11/24/2019 12:58,12/17/2019 6:47,87,10
6,1/10/2019 0:38,3/14/2019 15:11,7,32
6,3/16/2019 9:56,3/25/2019 2:56,32,11
6,3/26/2019 3:59,4/18/2019 1:14,11,90
6,4/19/2019 4:24,4/28/2019 20:52,90,23
6,4/29/2019 23:45,5/13/2019 22:52,23,32
6,5/14/2019 23:29,5/27/2019 23:13,32,11
6,5/28/2019 23:38,6/12/2019 21:01,11,32
6,6/13/2019 23:42,6/27/2019 2:52,32,29
6,6/28/2019 4:31,7/6/2019 7:30,29,32
6,7/7/2019 7:30,7/30/2019 1:06,32,73
6,7/30/2019 23:52,8/8/2019 20:54,73,22
6,8/9/2019 23:44,10/6/2019 10:30,22,138
6,10/7/2019 18:59,12/4/2019 12:55,138,175
7,1/6/2019 16:41,1/15/2019 7:55,10,20
7,1/16/2019 4:58,1/28/2019 7:46,20,91
7,1/29/2019 16:46,2/16/2019 16:58,91,83
7,2/19/2019 13:57,2/24/2019 7:40,83,138
7,2/25/2019 1:50,3/3/2019 14:44,138,19
7,3/5/2019 0:21,3/8/2019 19:47,19,10
7,5/8/2019 10:30,5/25/2019 2:43,10,87
7,5/26/2019 1:30,6/6/2019 1:31,87,10
7,6/7/2019 4:30,6/19/2019 23:48,10,95
7,6/20/2019 23:49,7/21/2019 2:36,95,10
7,7/22/2019 10:30,8/2/2019 23:46,10,20
7,8/3/2019 23:52,8/14/2019 8:57,20,10
7,8/15/2019 8:46,8/25/2019 0:26,10,95
7,8/26/2019 10:28,9/9/2019 16:30,95,91
7,9/10/2019 20:52,10/3/2019 21:35,91,23
7,10/5/2019 8:06,10/30/2019 23:48,23,91
7,11/1/2019 5:56,11/26/2019 9:45,91,120
8,1/26/2019 18:48,2/6/2019 19:59,10,93
8,2/7/2019 19:55,2/17/2019 22:04,93,138
8,2/19/2019 19:39,4/16/2019 22:24,138,18
8,4/18/2019 1:16,4/27/2019 21:09,18,32
8,4/28/2019 20:53,5/7/2019 22:52,32,154
8,5/9/2019 1:21,5/23/2019 16:24,154,121
8,5/24/2019 16:29,6/19/2019 20:46,121,91
8,6/21/2019 5:45,7/11/2019 7:32,91,126
8,7/12/2019 20:47,8/1/2019 4:31,126,57
8,8/2/2019 5:48,8/19/2019 0:43,57,35
8,8/20/2019 8:51,9/12/2019 3:10,35,57
8,9/13/2019 5:56,10/16/2019 10:07,57,120
8,10/17/2019 10:31,10/28/2019 23:51,120,138
8,10/29/2019 23:52,11/30/2019 18:45,138,58
8,12/1/2019 18:45,12/14/2019 11:28,58,100
8,12/16/2019 0:42,12/23/2019 22:00,100,139
9,1/24/2019 4:21,4/21/2019 4:28,51,57
9,4/23/2019 4:23,5/9/2019 4:30,57,15
9,5/10/2019 4:30,6/7/2019 10:30,15,10
9,6/8/2019 16:30,7/4/2019 8:43,10,120
9,7/5/2019 8:43,7/24/2019 10:30,120,10
9,7/25/2019 17:46,8/17/2019 23:33,10,84
9,8/19/2019 6:15,9/9/2019 20:54,84,138
9,10/23/2019 10:30,11/16/2019 9:45,138,120
9,11/17/2019 11:29,11/30/2019 21:49,120,138
10,2/5/2019 22:57,2/15/2019 16:53,10,140
10,2/17/2019 10:46,3/3/2019 10:26,140,55
10,3/3/2019 13:56,4/4/2019 18:58,55,92
10,4/5/2019 21:41,4/15/2019 22:17,92,70
10,4/17/2019 0:45,5/19/2019 7:31,70,10
10,6/22/2019 20:48,7/8/2019 1:10,10,95
10,7/9/2019 4:29,7/24/2019 18:59,95,138
10,7/25/2019 16:31,9/4/2019 7:30,138,10
10,9/5/2019 7:29,9/15/2019 4:59,10,87
10,9/16/2019 5:17,10/2/2019 2:53,87,57
10,10/3/2019 4:31,11/9/2019 17:27,57,165
10,11/11/2019 9:54,11/24/2019 3:52,165,20
10,11/25/2019 5:29,12/13/2019 23:10,20,91
11,1/11/2019 4:19,2/14/2019 10:26,139,138
11,4/16/2019 1:25,5/10/2019 23:27,138,23
11,5/12/2019 1:28,6/12/2019 5:52,23,91
11,6/13/2019 7:33,6/28/2019 8:47,91,83
11,6/29/2019 14:55,7/6/2019 15:39,83,138
11,7/7/2019 16:32,7/12/2019 8:14,138,83
11,7/13/2019 13:31,7/17/2019 4:30,83,138
11,7/18/2019 10:33,9/16/2019 7:42,138,55
11,9/17/2019 11:42,10/14/2019 1:28,55,20
11,10/15/2019 1:30,10/27/2019 10:29,20,138
12,1/6/2019 4:58,1/20/2019 4:58,65,104
12,1/21/2019 7:48,2/2/2019 1:54,104,65
12,2/3/2019 4:51,2/18/2019 4:50,65,104
12,2/19/2019 7:57,3/2/2019 3:33,104,65
12,3/3/2019 4:46,3/13/2019 21:44,65,104
12,3/15/2019 0:45,3/28/2019 6:52,104,65
12,3/29/2019 12:48,4/12/2019 4:20,65,104
12,4/13/2019 4:23,4/26/2019 23:45,104,149
12,4/28/2019 20:52,5/10/2019 16:29,149,104
12,5/11/2019 18:59,5/24/2019 1:31,104,65
12,5/25/2019 5:49,6/12/2019 7:16,65,104
12,6/13/2019 7:00,6/25/2019 1:30,104,65
12,6/25/2019 23:51,7/8/2019 4:31,65,104
