vessel,begin_port_id,end_port_id
1,138,102
1,102,138
1,138,33
1,33,138
1,138,72
1,72,138
1,138,95
1,95,138
1,138,27
1,27,138
1,138,95
2,13,104
2,104,13
2,13,10
2,10,16
2,16,138
2,138,134
2,134,10
2,10,36
2,36,97
2,97,134
2,134,55
2,55,11
2,11,55
3,104,115
3,115,32
3,32,74
3,74,138
3,138,83
3,83,138
3,138,83
3,83,138
3,138,84
3,84,91
3,91,35
3,35,57
3,57,120
3,120,165
3,165,23
4,57,7
4,7,104
4,104,13
4,13,138
4,138,134
4,134,10
4,10,20
4,20,138
4,138,134
4,134,55
4,55,91
4,91,58
4,58,55
5,104,29
5,29,99
5,99,83
5,83,138
5,138,134
5,134,10
5,10,97
5,97,83
5,83,84
5,84,138
5,138,134
5,134,122
5,122,55
5,55,87
5,87,10
6,7,115
6,115,32
6,32,11
6,11,90
6,90,23
6,23,32
6,32,11
6,11,32
6,32,29
6,29,73
6,73,22
6,22,138
6,138,175
6,175,82
7,10,20
7,20,10
7,10,95
7,95,23
7,23,91
7,91,120
8,10,93
8,93,138
8,138,82
8,82,18
8,18,32
8,32,154
8,154,91
8,91,126
8,126,57
8,57,35
8,35,57
8,57,138
8,138,58
8,58,100
9,51,115
9,115,57
9,57,15
9,15,10
9,10,84
9,84,134
9,134,138
9,138,120
9,120,138
10,16,10
10,10,140
10,140,55
10,55,38
10,38,92
10,92,70
10,70,10
10,10,82
10,82,10
10,10,95
10,95,138
10,138,134
10,134,10
10,10,87
10,87,57
10,57,44
10,44,165
10,165,20
11,139,138
11,138,23
11,23,91
11,91,138
11,138,83
11,83,138
11,138,38
11,38,55
11,55,20
11,20,138
11,138,38
12,65,104
12,104,65
12,65,104
12,104,65
12,65,104
12,104,65
12,65,104
12,104,149
12,149,104
12,104,65
12,65,104
12,104,65
12,65,104
12,104,65
12,65,97
12,97,134
12,134,55
12,55,36
12,36,10
12,10,149
13,55,27
13,27,138
13,138,134
13,134,55
13,55,72
13,72,104
13,104,29
13,29,104
13,104,13
13,13,104
13,104,13
13,13,138
13,138,115
13,115,32
13,32,98
14,134,55
14,55,72
14,72,115
14,115,73
14,73,51
14,51,156
14,156,14
14,14,99
14,99,30
14,30,99
14,99,151
14,151,115
14,115,32
14,32,7
14,7,91
15,56,10
15,10,134
15,134,55
15,55,111
15,111,34
15,34,104
15,104,75
15,75,92
15,92,58
15,58,126
15,126,57
15,57,115
15,115,57
15,57,16
15,16,10
16,136,46
16,46,115
16,115,91
16,91,149
16,149,55
16,55,38
16,38,7
16,7,115
16,115,10
16,10,20
17,138,11
17,11,27
17,27,91
17,91,139
17,139,138
17,138,120
17,120,175
17,175,7
17,7,138
18,121,115
18,115,70
18,70,32
18,32,104
18,104,13
18,13,104
18,104,149
18,149,138
18,138,83
18,83,138
18,138,134
18,134,10
18,10,120
18,120,10
18,10,44
18,44,165
18,165,58
19,147,35
19,35,147
19,147,23
19,23,147
19,147,45
19,45,147
19,147,114
19,114,147
19,147,35
19,35,147
19,147,136
19,136,147
19,147,56
19,56,147
19,147,23
20,91,56
20,56,115
20,115,32
20,32,149
20,149,138
20,138,114
20,114,57
20,57,149
20,149,104
20,104,75
20,75,32
20,32,115
20,115,104
20,104,13
20,13,138
20,138,54
20,54,32
21,23,91
21,91,82
21,82,138
21,138,46
21,46,10
21,10,105
21,105,138
21,138,111
21,111,91
21,91,7
21,7,138
22,72,10
22,10,160
22,160,100
23,7,111
23,111,10
23,10,140
23,140,10
23,10,19
23,19,10
23,10,23
23,23,59
23,59,23
23,23,10
23,10,7
23,7,99
23,99,154
23,154,59
24,160,23
24,23,160
24,160,23
24,23,138
24,138,20
24,20,138
24,138,51
24,51,138
24,138,139
24,139,138
25,104,149
25,149,14
25,14,115
25,115,10
25,10,120
25,120,10
25,10,27
25,27,23
25,23,10
25,10,96
25,96,10
25,10,33
26,115,147
26,147,140
26,140,147
26,147,153
26,153,147
26,147,23
26,23,147
26,147,114
26,114,147
26,147,23
26,23,147
27,104,139
27,139,55
27,55,11
27,11,92
27,92,121
27,121,83
27,83,138
27,138,83
27,83,138
27,138,114
27,114,57
27,57,51
27,51,91
28,91,44
28,44,91
28,91,144
28,144,91
28,91,114
28,114,91
28,91,36
28,36,91
28,91,144
28,144,91
28,91,44
28,44,91
29,147,23
29,23,147
29,147,23
29,23,147
29,147,23
29,23,147
29,147,23
29,23,147
29,147,23
29,23,147
29,147,115
29,115,147
29,147,35
29,35,147
30,91,82
30,82,138
30,138,46
30,46,160
30,160,136
30,136,138
30,138,136
30,136,160
30,160,120
30,120,138
30,138,35
30,35,91
30,91,29
31,138,82
31,82,10
31,10,93
31,93,138
31,138,83
31,83,138
31,138,11
31,11,57
31,57,115
31,115,32
31,32,91
31,91,35
31,35,91
31,91,44
31,44,138
31,138,126
31,126,37
31,37,115
32,115,87
32,87,91
32,91,35
32,35,91
32,91,45
32,45,91
32,91,48
32,48,91
32,91,35
32,35,115
32,115,91
33,32,154
33,154,104
33,104,149
33,149,32
33,32,73
33,73,98
33,98,57
